video, title, thumbnail, description, hotsted_at, flight_start_time, flight_end_time, labels, metadata:type_1, metadata:type_2,   metadata:type_3, embed_code, id, video_length, video_size, total_plays
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/17/18/31/20120817183102.8026050.mpg,Yardley kids jump their way to first place at Grange Fair,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/17/18/35/ebuooadyyhqgzovpipdn.jpg?co_id=471,Three kids from Yardley jump their way to first place at the Middletown Grange Fair's 25th Annual Talent Contest.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/17/18/31/20120817183102.8026050.mpg?co_id=471,2012-08-17T18:35:44Z,1345228219000,/grangefair_playlist,News,Entertainment,Education,,4160745,199,102981632,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/17/15/57/20120817155716.8342290.mpg,Check out this baaad boy at the Grange,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/17/16/00/ltnmxqqjlrmqimuboaec.jpg?co_id=471,It's no fun being a sheep when the shears come out. but this little lamb at the Middletown Grange Fair in Wrightstown had no other choice..,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/17/15/57/20120817155716.8342290.mpg?co_id=471,2012-08-17T16:00:53Z,1345218992467,/grangefair_playlist,News,Education,Careers & Occupation,,4159988,32.467,16932864,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/16/20/41/20120816204127.9163940.mpg,Bristol Borough Basketball Camp Aug. 16 at Snyder-Girotti MS,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/16/20/41/vxwqmktchgiaeqxalbwj.jpg?co_id=471,Bristol Borough Basketball Camp hosted by the 21st Century Community Learning Center Aug. 16 at Snyder-Girotti Middle School.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/16/20/41/20120816204127.9163940.mpg?co_id=471,2012-08-16T20:42:13Z,1345145912667,/BristolBorough; /21stCenturyCommunityLearningCenter; /UnitedWay; /MantoSportsGroup; /sports_playlist,Basketball,Sports,,,4154718,152.667,79288320,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/15/23/09/20120815230924.9738640.mpg,Zebra-striped Whale book penned by Newtown businesswoman,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/16/03/07/yhzoqlxmiizjtuxqwtsr.jpg?co_id=471,Shari Faden Donahue and Tom Donahue are partners in marriage. business and publishing. Their new book is The Zebra-striped Whale Alphabet Book. They own the Zebra-striped Whale cafe on State Street in Newtown Borough.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/15/23/09/20120815230924.9738640.mpg?co_id=471,2012-08-16T03:07:29Z,1345071632000,/Zebra-striped; /Whale; /Newtown; /news_playlist,News,Business,Education,,4149745,272,140664832,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/19/15/20120815191539.2211400.mpg,Trattoria Rosa Bianca to open in Yardley,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/19/24/dyhdgcllvajvfhexxidt.jpg?co_id=471,Rosa and Anthony Boccella say everyone's asking them when they're going to open their new Italian restaurant. Trattoria Rosa Bianca. in downtown Yardley Borough. The answer to the question is in September.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/19/15/20120815191539.2211400.mpg?co_id=471,2012-08-15T19:24:26Z,1345058085000,/Trattoria; /Rosa; /Bianca; /Yardley; /news_playlist,News,Business,Small Business,,4148079,225,116473856,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/16/56/20120815165607.8787210.mpg,1st Lt. Steven Biggs receives Warriors Welcome in Newtown,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/16/59/fvkqdqgkvcgiexmgvvsd.jpg?co_id=471,1st Lt. Steven Biggs returns home to a hero's welcome after 10 month deployment in Afghanistan,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/16/56/20120815165607.8787210.mpg?co_id=471,2012-08-15T17:01:15Z,1345049720000,/news_playlist,News,Government & Politics,Careers & Occupation,,4147489,260,134752256,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/00/36/20120815003621.9196640.mpg,Megan DelBianco shows her steer at the Grange Fair,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/15/02/26/izreufaokxavpxacvbql.jpg?co_id=471,Megan DelBianco remembers learning about the Middletown Grange Fair when she was very little. Today. she raises steer and aims to study animal science in college.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/15/00/36/20120815003621.9196640.mpg?co_id=471,2012-08-15T02:27:13Z,1344990000000,/DelBianco; /steer; /Grange; /Fair; /news_playlist,News,Pets & Animals,Home & Lifestyle,,4144033,120,62164992,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/12/20/29/20120812202918.6567610.mpg,The Wright sisters take their cows to the Middletown Grange,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/12/21/46/jgbzfzcvwwoaetqerzhf.jpg?co_id=471,Mary and Sarah Wright come from a long line of dairy farmers. They will show the Jersey cows that they have carefully raised to the Middletown Grange Fair for competition.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/12/20/29/20120812202918.6567610.mpg?co_id=471,2012-08-12T21:46:42Z,1344802873000,/Wright; /Middletown; /Makefield; /; /Grange; /news_playlist,News,Hobbies & Interests,Careers & Occupation,,4131674,193,99923968,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/09/19/32/20120809193255.6687950.mpg,Bristol Borough Frisbee Sports Camp Aug. 9 at BMF,http://video-static.clipsyndicate.com/zStorage/syndicaster2/154/2012/08/09/19/42/ugxpslymgzxlgyihfxmb.jpg?co_id=471,Bristol Borough Frisbee Sports Camp. presented by the 21st Century Community Learning Center. the United Way of Bucks County and the Manto Sports Group Aug. 9 at Bristol Memorial Ballfields.,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/09/19/32/20120809193255.6687950.mpg?co_id=471,2012-08-09T19:42:48Z,1344539300000,/BristolBorough; /UnitedWay; /MantoSportsGroup; /sports_playlist,Sports,Fitness,,,4120116,80,41693184,
http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/09/15/57/20120809155711.4180210.mpg,Vault Brewing tanks arrive in Yardley,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/09/16/07/acyhezuynljsrwhsywut.jpg?co_id=471,Vault Brewing tanks arrive in Yardley,http://video-static.clipsyndicate.com/zStorage/syndicaster2/172/2012/08/09/15/57/20120809155711.4180210.mpg?co_id=471,2012-08-09T16:07:57Z,1344527214000,/news_playlist,News,Local News,Food/Wine,,4119223,174,89800704,
